Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Friedrich-Schiller-Gymnasium Pirna;SN-4340329;Gymnasium;;;;;;Flughafen Dresden International;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Friedrich-Schiller-Gymnasium Pirna;SN-4340329;Gymnasium;;;;;;Debeka;;AG;Wirtschaftsakteur
Friedrich-Tschanter-Oberschule Eilenburg;SN-4430427;Mittelschule;;;;;;Gewerblich-technische Bildungsstätte GmbH-Leipzig;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Fucikschule, Oberschule;SN-4530846;Mittelschule;;;;;;Sparkasse Zwickau;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Fucikschule, Oberschule;SN-4530846;Mittelschule;;;;;;Plan F;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Fucikschule, Oberschule;SN-4530846;Mittelschule;;;;;;Lernstudio Zwickau;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Gebrüder-Grimm-Grundschule;SN-4210860;Grundschule;;;;;;Sparkasse Chemnitz;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georg-Schumann-Schule - Oberschule des Deutsch-Französischen Bildungszentrums der Stadt Leipzig;SN-4431110;Mittelschule;;;;;;Deutsch Bahn;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georg-Schumann-Schule - Oberschule des Deutsch-Französischen Bildungszentrums der Stadt Leipzig;SN-4431110;Mittelschule;;;;;;Zukunftswerkstatt Leipzig;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georg-Weerth-Oberschule;SN-4230538;Mittelschule;;;;;;Sparkasse Chemnitz;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georgius-Agricola-Gymnasium;SN-4240149;Gymnasium;;;;;;Südsachsen Wasser AG;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georgius-Agricola-Gymnasium;SN-4240149;Gymnasium;;;;;;Mittelstandsvereinigung Chemnitz;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Georgius-Agricola-Gymnasium;SN-4240149;Gymnasium;;;;;;Eins Energie;Schülerpatenschaften Englischkurse;Wirtschaft;Wirtschaftsakteur
Gerhart-Hauptmann-Schule Sohland, Oberschule;SN-4130894;Mittelschule;;;;;;Trumpf Neukirch;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Gerhart-Hauptmann-Schule, Oberschule;SN-4531034;Mittelschule;;;;;;Continental AG;"Durchführung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mögl""hführung der AG \"Come to Conti\" im BetriebSchüler der Klass""führung der AG \"Come to Conti\" im Betrieb""ührung der AG \"Come to Co""hrung der """urchführung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mögl""hführung der AG \"Come to Conti\" im BetriebSchüler der Klass""führung der AG \"Come to Conti\" im Betrieb""ühru""rchführung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mögl""hführung der AG \"Come to Conti\" im BetriebSchüler der Klass""führung der AG ""chführung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mögl""hführung der AG \"Come to Conti\" im BetriebS""hführung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mögl""hführung der ""führung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\" im BetriebSchüler der Klasse ""ührung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chführung der AG \"Come to Conti\"""hrung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbil""chfüh""rung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Mö""ung der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come to Conti\" im BetriebSchüle""ng der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""rchführung der AG \"Come t""g der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter""r"" der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbi""der AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler der Klasse 9 haben die""er AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti\" im BetriebSchüler ""r AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung der AG \"Come to Conti"" AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzulernen""urchführung de""AG \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unternehmen kennenzuler""G \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildungsberufe im Unter"" \Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkeit zehn Ausbildun""\Come to Conti\" im BetriebSchüler der Klasse 9 haben die Möglichkei""Come to Conti\" im BetriebSchüler der Klasse 9 haben""ome to Conti\" im BetriebSchüler der ""me to Conti\" im Betrie""e to Conti";Wirtschaft;Wirtschaftsakteur
Gerhart-Hauptmann-Schule, Oberschule;SN-4531034;Mittelschule;;;;;;Sparkasse Chemnitz;Nutzung der Angebote des Sparkassen-Services , wie z.B. Bewerbungstraining;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Freiberg;SN-4240206;Gymnasium;;;;;;ThyssenKrupp Steel AG;Exkursionen nach DuisburgBetriebsbesichtigung;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Freiberg;SN-4240206;Gymnasium;;;;;;Freiberger Bank e.G.;Unterstützung bei verschiedenen Projekten (Schulbanker);Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Freiberg;SN-4240206;Gymnasium;;;;;;Technologie Park Mittweida;Berufsorientierung und Studienwahl;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Freiberg;SN-4240206;Gymnasium;;;;;;GIZeF Freiberg;Unterstützung bei einzelnen Lehrveranstaltungen (z.B. Wahlgrundkurs Biotechnologie);Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Löbau;SN-4140182;Gymnasium;;;;;;Sparkasse Oberlausitz - Niederschlesien;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Löbau;SN-4140182;Gymnasium;;;;;;Süd-Oberlausitzer Wasserversorgungs- und Abwasserentsorgungsgesellschaft;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Gymnasium Löbau;SN-4140182;Gymnasium;;;;;;Kultur-und Weiterbildungsgesellschaft mbH;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Quellmalz GmbH;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Sparkasse;Unterrichtsgestaltung im wirtschaftl. ProfilMaterielle Unterstützung;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Schmaus GmbH;Unterstützung bei Berufsorientierungmaterielle UnterstützungPartnerschaft;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Continental VDO;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Siemens;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Riedel und Tietz;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Geschwister-Scholl-Oberschule;SN-4531018;Mittelschule;;;;;;Delta Barth;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Goethe-Grundschule;SN-4511739;Grundschule;;;;;;KITA der BonaVita GmbH;- gemeinsame Absprache zum Schulvorbereitungsjahr- gemeinsame Analysen von Vorschulteam der Schule und den Erzieherinnen- Vorschulangebote im 2. Halbjahr in der Schule- jährliche Evaluation der Zusammenarbeit;Wirtschaft;Wirtschaftsakteur
Goethe-Grundschule;SN-4511739;Grundschule;;;;;;Hort der BonaVita GmbH Limbach-Oberfrohna;Gemeinsame Nutzung von RäumenRegelmäßige Absprachen , um einen nahtlosen Übergang von der Schule in den Hort zu schaffen;Wirtschaft;Wirtschaftsakteur
Goethe-Gymnasium;SN-4540142;Gymnasium;;;;;;Mahle-BEHR Industry Reichenbach;Berufsorientierung;Wirtschaft;Wirtschaftsakteur
Goethe-Gymnasium;SN-4540142;Gymnasium;;;;;;CH Müller Technische Textilien;Studien- und Berufsorientierung;Wirtschaft;Wirtschaftsakteur
Goethe-Gymnasium;SN-4540142;Gymnasium;;;;;;Neuberinhaus Reichenbach;Veranstaltungsort für viele Schulveranstaltungen;Wirtschaft;Wirtschaftsakteur
Goethe-Oberschule Wilthen;SN-4130936;Mittelschule;;;;;;Sächsische Lederwarenmanufaktur;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Goethe-Oberschule Wilthen;SN-4130936;Mittelschule;;;;;;Lakowa;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Goethe-Oberschule Wilthen;SN-4130936;Mittelschule;;;;;;FBW Bischofswerda;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Goethe-Oberschule Wilthen;SN-4130936;Mittelschule;;;;;;Trumpf Neukirch;Unterstützung bei der BerufsfindungBetriebsbesichtigungenSchülerpraktika;Wirtschaft;Wirtschaftsakteur
Goetheschule Mügeln, Oberschule;SN-4430799;Mittelschule;;;;;;Firma Pietzsch Ostrau;Gewinnung von Berufsnachwuchs Gemeinsame Sportfeste;Wirtschaft;Wirtschaftsakteur
Gottlieb-Daimler-Oberschule Bautzen;SN-4130514;Mittelschule;;;;;;TG Autohandels GmbH;Sponsor des Leistungspreises;Wirtschaft;Wirtschaftsakteur
Gottlieb-Daimler-Oberschule Bautzen;SN-4130514;Mittelschule;;;;;;Kreissparkasse;Unterstützung des Schulfördervereins als Sponsor;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;Sächsische Zeitung;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;Druckerei Lößnitzgrund;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;Busunternehmen Idealtours;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;Bombastus-Werke Freital;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;media: port Dresden;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Stadion """rundschule """"""rundschule Am Sta";SN-4510475;Grundschule;;;;;;Sparkasse Vogtland;Zusammenarbeit im kulturellen Bereich bei Auftritten und Veranstaltungen in der SparkassenfilialeSpar- und Wirtschaftserziehung an der SchuleHilfe und Unterstützung bei SchulfestenNutzung des Budgets an Schulbroschüren und Büchern;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Stadtpark """rundschule "Am""un"""rundschule Am Stadtpa";SN-4210803;Grundschule;;;;;;Thera- Plus- Med. GmbH ergotherapeutische Praxis;im Rahmen der GanztagesangeboteVerbesserung der Lese- und Rechtschreibleistungen;Wirtschaft;Wirtschaftsakteur
"Grundschule Am Wartberg """rundschule "A""u"""rundschule Am Wartb";SN-4510517;Grundschule;;;;;;Via-Beratung;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Franciscus Nagler " Prausitz""rundschule "Franciscus Nagle""undschule "Franc""ndsch"""rundschule Franciscus Nagler " Prausitz""rundschule "Franciscus N""undschule Franciscus Nagler " Praus""ndschu";SN-4312088;Grundschule;;;;;;Michcenter Dorfheimat Prausitz;Der Milchcenter unterstützt uns beim Projekt Klasse 2000 mit finanziellen Mitteln und gibt uns die Möglichkeit , Exkursionen im Betrieb durchzuführen;Wirtschaft;Wirtschaftsakteur
"Grundschule Friedrich Schiller """rundschule "Friedric""undschul"""rundschule Friedrich Schiller """""un";SN-4112017;Grundschule;;;;;;MFT Cunewalde;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Gottfried Silbermann """rundschule "Gottfried ""undschule """rundschule Gottfried Silbermann """ru""unds";SN-4210159;Grundschule;;;;;;Sparkasse Mittelsachsen/Freiberg;Nutzung der monatlichen HALLO-Zeitschriften sowie die Angebote der Sparkassenstiftung zum kostenlosen Museumsbesuch;Wirtschaft;Wirtschaftsakteur
"Grundschule Gotthold Ephraim Lessing " Pirna""rundschule "Gotthold Ephraim Les""undschule "Gotthold ""ndschule """rundschule Gotthold Ephraim Lessing " Pirna""rundschule "Gotthold Ephraim ""undschule Gotthold Ephraim Lessing " ""n";SN-4312369;Grundschule;;;;;;Stadtwerke Pirna GmbH;Keine Angabe;Wirtschaft;Wirtschaftsakteur
"Grundschule Hans Marchwitza """rundschule "Hans ""undsc"""rundschule Hans Marchwitza ";SN-4213336;Grundschule;;;;;;Vital und Sportzentrum Schneeberg;Unterstützung bei GTA;Wirtschaft;Wirtschaftsakteur
Grundschule Altmittweida;SN-4211124;Grundschule;;;;;;Müllerhof Mittweida;Klassenveranstaltungen zur Weihnachtszeit;Wirtschaft;Wirtschaftsakteur
Grundschule Am Park Taucha;SN-4410676;Grundschule;;;;;;Bildungskreis Sprachen Markkleeberg;Frühförderung der sprachlichen Fähigkeiten im Bereich Englisch Klasse 1 - 3;Wirtschaft;Wirtschaftsakteur
Grundschule Am Park Taucha;SN-4410676;Grundschule;;;;;;Bildungskreis Sprachen;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Grundschule Berg Eilenburg;SN-4410882;Grundschule;;;;;;Stadtwerke Eilenburg;Keine Angabe;Wirtschaft;Wirtschaftsakteur
Grundschule Dahlen;SN-4411252;Grundschule;;;;;;TIP Holz Dahlen;Keine Angabe;Wirtschaft;Wirtschaftsakteur
