Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Schule am Floßplatz - Grundschule der Stadt Leipzig;SN-4412177;Grundschule;;;;;;Evangelischer KITA , F.-Rhode-Str. 17A;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
Schule am Floßplatz - Grundschule der Stadt Leipzig;SN-4412177;Grundschule;;;;;;IKTE Sonnenwinkel, Hohe Str. 21;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
"Sorbische Grundschule Dr. Maria Grollmuß " Radibor""orbische Grundschule "Dr. Ma""rbisch"""orbische Grundschule Dr. Maria Grollmuß " Radib""rbisch";SN-4111324;Grundschule;;;;;;Katholisches Kinderhaus Radibor, AWO Kita Radibor und Milkel;Gestaltung der Schuleingangsphase;Kindertagesstätte;Öffentliche Infrastruktur
Johann-Mathesius-Gymnasium;SN-4240347;Gymnasium;;;;;;CVJM, Seelitz;Keine Angabe;kirchliche Einrichtung;Religiöse Einrichtung
Oberschule Brand-Erbisdorf;SN-4230033;Mittelschule;;;;;;Christliches Jugenddorf Chemnitz,;Keine Angabe;kirchliche Einrichtung;Religiöse Einrichtung
Altstadtschule Stollberg, Oberschule;SN-4231049;Mittelschule;;;;;;AOK, Barmer;Keine Angabe;Krankenversicherung;Öffentliche Infrastruktur
Brückenberg-Schule, Schule für geistig Behinderte;SN-4220570;Schule für geistig Behinderte;;;;;;Neubert, Silvia - Reit- und Thiertherapeutin;Keine Angabe;Medizin;Wirtschaftsakteur
Grundschule Ohorn;SN-4111241;Grundschule;;;;;;Psychiatrische Tagesklinik, Arnsdorf und Kamenz;Betreuung gefärdeter KinderAbsprachen erfolgen zwischen Lehrern , medizinischem Personal und den ElternUnterstützung bei Lern- und Verhaltensproblemen;Medizin;Öffentliche Infrastruktur
"Förderschulzentrum Oberes Osterzgebirge """örderschulzentrum "Obe""rde"""örderschulzentrum Oberes Oster";SN-4320230;Schule für geistig Behinderte;Schule zur Lernförderung;Schule für Erziehungshilfe;;;;Praxis für Physiotherapie Thümmel, Reinhardsgrimma;Keine Angabe;Medizin;Wirtschaftsakteur
Käthe-Kollwitz-Gymnasium;SN-4540217;Gymnasium;;;;;;SAQ, Horchmuseum;"Projekt \Trabant\"""rojekt \""""""rojekt \Traban";Museum;Öffentliche Infrastruktur
"4. Grundschule Dresden Am Rosengarten """. Grundschule Dr""". Grundschule Dresd";SN-4310496;Grundschule;;;;;;Musikschule \Komma, die\;Keine Angabe;Musikschule;Öffentliche Infrastruktur
78. Schule - Grundschule der Stadt Leipzig;SN-4411880;Grundschule;;;;;;Musikschule Fröhlich,Hort der 78. Schule;;Musikschule;Öffentliche Infrastruktur
80. Grundschule Dresden;SN-4310553;Grundschule;;;;;;#Musik-,Tanz- & Kunstschule Bannewitz;Keine Angabe;Musikschule;Öffentliche Infrastruktur
Grundschule Rosenthal-Bielatal;SN-4311510;Grundschule;;;;;;Musikschule Fröhlich, Frau Hennig;Musikschulangebot in der Grundschulegemeinsame Gestaltung von Programmen und Auftritten;Musikschule;Öffentliche Infrastruktur
Grundschule Tintenklecks Mügeln;SN-4411542;Grundschule;;;;;;Buchhandlung Varius Mügeln,Musikschule Fröhlich;;Musikschule;Öffentliche Infrastruktur
Gymnasium Schkeuditz;SN-4440491;Gymnasium;;;;;;Musikschule Delitzsch, Musikschule Leipziger Land;Keine Angabe;Musikschule;Öffentliche Infrastruktur
"Oberschule Friedrich Rückert """berschule "Friedric""erschule"""berschule Friedrich Rückert """b""ers";SN-4530358;Mittelschule;;;;;;Theater Plauen, Zwickau;Kooperation mit den Klassen;Oper;Öffentliche Infrastruktur
44. Grundschule Dresden;SN-4310678;Grundschule;;;;;;MAN- Gymnasium, Marie- Curie- Gymnasium;Elternabend Teilnahme ausgewählter Kinder an Wettbewerben dieser Schulen;Partnerschule;Partnerschule
44. Grundschule Dresden;SN-4310678;Grundschule;;;;;;32. Mittelschule,;Elternabend zum Bildungsweg Mittelschule;Partnerschule;Partnerschule
"77. Grundschule Dresden An den Seegärten """7. Grundschule Dre"""7. Grundschule Dresde";SN-4310066;Grundschule;;;;;;Gymnasium Dresden Cotta,Gymnasium Coswig;Optimierung des Übergangs ab Klase 5;Partnerschule;Partnerschule
Grundschule Kyhna;SN-4410999;Grundschule;;;;;;Oberschule Delitzsch-Nord, Artur-Becker-Oberschule Delitzsch;Bildungsberatung weiterführende Schulen;Partnerschule;Partnerschule
Grundschule Regenbogen Oberbobritzsch;SN-4210472;Grundschule;;;;;;Förderschulen in Freiberg, Brand-Erbisdorf und Flöha;Keine Angabe;Partnerschule;Partnerschule
Grundschule Waldheim;SN-4213112;Grundschule;;;;;;Oberschule Waldheim, Gymnasium Hartha;Kooperation zwischen der GS Waldheim und den weiterführenden Bildungseinrichtungen um die Übergänge für die Schüler fließend und möglichst unproblematisch gestalten zu können;Partnerschule;Partnerschule
Gustav-Hertz-Schule - Gymnasium der Stadt Leipzig;SN-4440236;Gymnasium;;;;;;College Pierre de Coubertin, Cormontreuil;jährlicher Schüleraustauschgegenseitige UnterrichtsbesucheBrief- und e-mail-Kontakte;Partnerschule;Partnerschule
Gustav-Hertz-Schule - Gymnasium der Stadt Leipzig;SN-4440236;Gymnasium;;;;;;Hans-Christian-Andersen-Schule, Grundschule Leipzig;Optimierung der BildungsberatungVerständigung über Lehrplaninhalte und Anforderungen der einzelnen SchulartenTeilnahme an ElternabendenZusammenarbeit der Fachkonferenzen Mathematik , Deutsch und Englischgegenseitige Unterrichtsbesuche der Lehrkräfte;Partnerschule;Partnerschule
Karl-Heine-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450177; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;Ruth-Pfau-Schule, BSZ der Stadt Leipzig;Keine Angabe;Partnerschule;Partnerschule
Schule 5 im Stadtbezirk Mitte - Grundschule der Stadt Leipzig;SN-4412714;Grundschule;;;;;;Friedrich-Schiller-Schule, Gymnasium der Stadt Leipzig;optimale BildungsberatungVorbereitung des Übergangs von der Grundschule an die weiterführende SchuleZusammenarbeit im Hinblick auf Elternberatung , Informationsaustausch und Verständigung über Lehrplananforderungen;Partnerschule;Partnerschule
Schule 5 im Stadtbezirk Mitte - Grundschule der Stadt Leipzig;SN-4412714;Grundschule;;;;;;68. Schule, Oberschule der Stadt Leipzig;Optimierung der Bildungsberatung , Gestaltung des Übergangs von der Grundschule an die weiterführende SchuleZusammenarbeit bezüglich der Elternberatung , Informationsaustausch und Verständigung über Lehrplananforderungen;Partnerschule;Partnerschule
Schule Paunsdorf - Oberschule der Stadt Leipzig;SN-4431425;Mittelschule;;;;;;Theodor-Körner-Schule, Grundschule der Stadt Leipzig;ÜbergangsmanagementKooperation der Lehrer;Partnerschule;Partnerschule
Schule Paunsdorf - Oberschule der Stadt Leipzig;SN-4431425;Mittelschule;;;;;;24. Schule, Grundschule der Stadt Leipzig;ÜbergangsmanagementKooperation der Lehrer;Partnerschule;Partnerschule
Theodor-Körner-Schule - Grundschule der Stadt Leipzig;SN-4412409;Grundschule;;;;;;Brüder-Grimm-Schule, GS der Stadt Leipzig;Zusammenarbeit der GS-Arbeit;Partnerschule;Partnerschule
Theodor-Körner-Schule - Grundschule der Stadt Leipzig;SN-4412409;Grundschule;;;;;;Hans-Christain-Andersen-Schule, GS der Stadt Leipzig;Zusammenarbeit in der Grundschularbeit;Partnerschule;Partnerschule
Wilhelm-Hauff-Schule - Grundschule der Stadt Leipzig;SN-4411955;Grundschule;;;;;;68.Oberschule, W.-Heisenberg-Gymnasium;Gestaltung des Übergangs in die weiterführende Bildungseinrichtung;Partnerschule;Partnerschule
Karl-Heine-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450177; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;Susanna-Eger-Schule, BSZ der Stadt Leipzig;Keine Angabe;Partnerschule;Partnerschule
